place_freeform;latitude;longitude
Jilemnice;50,6089;15,50653
Jindřichův Hradec;49,14404;15,00301
Jirkov;50,49979;13,44769
Jirny;50,11578;14,69923
Jistebnice;49,48553;14,5276
Kadaň;50,38333;13,26667
Kamenice;49,90151365;14,5824212
Kamenice nad Lipou;49,30303;15,07519
Kamenický Šenov;50,77359;14,47287
Kameničky;49,73592;15,97502
Kaplice;48,73881;14,49449
Karlovy Vary;50,23271;12,87117
Karviná;49,854;18,54169
Kašperské Hory;49,14289;13,55616
Kateřinice;49,38209;17,88576
Kelč;49,47844;17,81533
Kladno;50,14734;14,10285
Klášterec nad Ohří;50,3886;13,18342
Klášterec nad Orlicí;50,1116;16,55449
Klatovy;49,39552;13,29505
Klecany;50,17599;14,41148
Klepačov;49,3432953;16,6599283
Klimkovice;49,78809;18,12585
Klobouky u Brna;48,99609;16,86298
Klobouky u Brna;48,99609;16,86298
Kněžmost;50,48917;15,03829
Kojetín;49,35179;17,30207
Kolín;50,02814;15,20057
Komárov;49,8065;13,85636
Konice;49,5903;16,88911
Kopřivnice;49,59947;18,1448
Kosova Hora;49,65414;14,47173
Kostelec;49,67430379;13,02638056
Kostelec na Hané;49,51398;17,05824
Kostelec nad Černými Lesy;49,99403;14,85922
Kostelec nad Labem;50,22653;14,58552
Kostelec nad Orlicí;50,12267;16,21319
Kouřim;50,00306;14,97703
Kouty u Třebíče;49,31473;15,79269
Kozlovice;49,5904;18,25656
Kozojedy;49,93124;13,54241
Kralice na Hané;49,46296;17,18048
Králíky;50,08384;16,76054
Kralovice;49,98192;13,48747
Kralupy nad Vltavou;50,24107;14,31149
Králův Dvůr;49,94981;14,03445
Krmelín;49,72914;18,23541
Krnov;50,08967;17,70385
Kroměříž;49,29785;17,39312
Krucemburk;49,68841;15,85207
Krupka;50,68449;13,85815
Kryry;50,17437;13,4266
Kryry;50,17437;13,4266
Křemže;48,90497;14,30568
Křepice;48,99986;16,71989
Křtiny;49,29706;16,74409
Kuřim;49,29852;16,53144
Kutná Hora;49,94839;15,26816
Kyjov;49,01018;17,12253
Kynšperk nad Ohří;50,11893;12,53027
Lanškroun;49,91217;16,6119
Lázně Bělohrad;50,42874;15,58269
Lázně Bohdaneč;50,0756;15,67978
Lázně Toušeň;50,16926777;14,71600531
Ledeč nad Sázavou;49,69517;15,27772
Lelekovice;49,29144;16,57874
Lenora;48,92231;13,79327
Lesnice;49,88376;16,94122
Letohrad;50,0358;16,49879
Letovice;49,54709;16,57357
Libčice nad Vltavou;50,19778;14,36385
Liběchov;50,40784;14,44675
Liberec;50,76711;15,05619
Líbeznice;50,19198;14,49357
Libina;49,88987;17,07262
Libochovice;50,40626;14,04439
Libušín;50,16819;14,05458
Lidečko;49,20303;18,0513
Lipník nad Bečvou;49,52721;17,58594
Lipník nad Bečvou;49,52721;17,58594
Lipovec;49,38394;16,80583
Litoměřice;50,53348;14,1318
Litomyšl;49,86809;16,31298
Litvínov;50,6042;13,61812
Lochenice;50,27206;15,81891
Loket;50,186;12,75405
Lomnice nad Lužnicí;49,08468;14,71727
Lomnice nad Popelkou;50,53062;15,37341
Loštice;49,7447;16,92892
Louny;50,35699;13,79667
Lovosice;50,51504;14,05103
Luby;50,25248;12,40595
Ludíkov;49,45539;16,73178
Luhačovice;49,09982;17,75747
Luka nad Jihlavou;49,37403;15,70194
Luleč;49,2519;16,92204
Luže;49,89341;16,0285
Lužice;48,84098;17,07104
Lysá nad Labem;50,20143;14,83281
Malé Svatoňovice;50,53395;16,04978
Malenice;49,1264;13,88283
Manětín;49,99177;13,23319
Mariánské Lázně;49,96459;12,70118
Mělník;50,3505;14,47411
Městec Králové;50,20718;15,29758
Mezouň;50,00427;14,21417
Mikulčice;48,81643;17,05107
Mikulov;48,80556;16,6378
Mikulovice;50,29854;17,32155
Mikulovice;50,29854;17,32155
Miletín;50,40382;15,68226
Milevsko;49,45089;14,36
Milotice;48,95528;17,14241
Milovice;50,22596;14,88863
Mimoň;50,65869;14,72474
Mistrovice;50,02367;16,57151
Mladá Boleslav;50,41135;14,90318
Mnichovo Hradiště;50,5272;14,97134
Mníšek pod Brdy;49,8665;14,26176
Modrá;49,11202;17,4034
Modřice;49,11928;16,60446
Mokrá-Horákov;49,22295629;16,75150267
Morávka;49,59607;18,52471
Moravská Ostrava;49,83465;18,28204
Moravská Třebová;49,75793;16,66426
Moravské Budějovice;49,05209;15,80864
Moravské Knínice;49,29328;16,50173
Moravský Krumlov;49,04893;16,31169
Mořina;49,95284;14,20863
Mořkov;49,53684;18,05968
Most;50,50301;13,63617
Mostek;50,48623;15,69622
Mutějovice;50,19425;13,70951
Mutěnice;48,90413;17,02917
Náchod;50,4167;16,16289
